table,column,sample_nonnull_first5000,dtype_sample,sample_values
cleaned,序号,5000,int64,1 | 2 | 3 | 4 | 5
cleaned,产品分类,5000,str,坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类
cleaned,产品名称,5000,str,生干籽类（花生米） | 散称花生米 | 生花生米 | 生花生米 | 生花生
cleaned,判定结果,5000,str,合格 | 合格 | 合格 | 合格 | 合格
cleaned,不合格项目分类,56,str,质量指标 | 生物毒素 | 生物毒素 | 生物毒素 | 生物毒素
cleaned,不合格项目,56,str,酸价(以脂肪计) | 黄曲霉毒素B₁ | 黄曲霉毒素B₁ | 黄曲霉毒素B₁ | 黄曲霉毒素B₁
cleaned,不合格规范列,56,str,酸价/酸值 | 黄曲霉毒素B₁ | 黄曲霉毒素B₁ | 黄曲霉毒素B₁ | 黄曲霉毒素B₁
cleaned,检测数值,54,str,10mg/g | 88.98μg/kg | 65.7μg/kg | 41.5μg/kg | 102μg/kg
cleaned,法规限制,54,str,≤3mg/g | ≤20μg/kg | 20μg/kg | 20μg/kg | 20μg/kg
cleaned,规格型号,4902,str,/ | / | / | / | /
cleaned,商标,663,str,/ | / | / | / | /
cleaned,生产日期,4467,str,2022-09-23 | 2022-09-25 | 2022-09-11 | 2022-09-14 | 2022-09-15
cleaned,生产企业名称,4919,str,/ | / | / | / | /
cleaned,生产企业地址,4987,str,/ | / | / | / | /
cleaned,生产省份,5000,str,不详 | 不详 | 不详 | 不详 | 不详
cleaned,抽样单位名称,4910,str,定襄县信德铧美超市有限公司 | 左权县好又多超市有限公司 | 山西财经大学学生五食堂 | 太原市外国语学校 | 北京市丰台区丰台第二小学
cleaned,抽样单位地址,4681,str,山西 | 山西 | 山西 | 山西 | 河南
cleaned,通报时间,5000,str,2023-01-04 | 2023-01-04 | 2023-01-04 | 2023-01-04 | 2023-01-04
cleaned,通报文号,5000,str,2022年第42期 | 2022年第41期 | 2022年第41期 | 2022年第41期 | 2023年第1期
cleaned,通报单位,5000,str,山西市场监管局 | 山西市场监管局 | 山西市场监管局 | 山西市场监管局 | 北京市场监管局
cleaned,措施,29,str,对抽检中发现的不合格食品，自治区市场监督管理局已督促相关地（州、市）市场监管部门立即组织开展处置工作，查清产品流向，采取下架召回不合格产品等措施控制风险；对违法违规行为，依法从严处理；及时将风险防控措施和核查处置情况向社会公示。 | 针对上述抽检中发现的不合格产品，我局已督导市级市场监管部门按照相关法律法规依法处理。消费者如果在市场上发现被通报的不合格食品，可拨打12315投诉举报。 | 对抽检中发现的不合格产品，聊城市市场监督管理局已责令生产经营企业所在地市场监管部门查清产品流向，召回、下架不合格产品，控制风险，立案调查，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。 | 对抽检中发现的不合格产品，聊城市市场监督管理局已责令生产经营企业所在地市场监管部门查清产品流向，召回、下架不合格产品，控制风险，立案调查，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工作。 | 对抽检中发现的不合格产品，聊城市市场监督管理局已责令生产经营企业所在地市场监管部门查清产品流向，召回、下架不合格产品，控制风险，立案调查，并分析原因进行整改，涉及的不合格产品已按要求开展核查处置工
cleaned,来源链接,1603,str,http://news.foodmate.net/2023/01/650597.html | http://news.foodmate.net/2023/01/650596.html | http://news.foodmate.net/2023/01/650596.html | http://news.foodmate.net/2023/01/650596.html | http://news.foodmate.net/2023/01/650683.html
cleaned,来源链接.1,5000,str,https://scjgj.shanxi.gov.cn/zwgk/jgfl/gstg/202301/t20230104_7734905.shtml | https://scjgj.shanxi.gov.cn/zwgk/jgfl/gstg/202301/t20230104_7734902.shtml | https://scjgj.shanxi.gov.cn/zwgk/jgfl/gstg/202301/t20230104_7734902.shtml | https://scjgj.shanxi.gov.cn/zwgk/jgfl/gstg/202301/t20230104_7734902.shtml | http://scjgj.beijing.gov.cn/zwxx/gs/202301/t20230105_2892688.html
cleaned,检验项目,106,str,过氧化值、铅(以pb计）、、酸价 | 镉(以Cd计)、过氧化值(以脂肪计)、黄曲霉毒素B₁、嘧菌酯、酸价(以脂肪计)(KOH) | 镉(以Cd计)、过氧化值(以脂肪计)、黄曲霉毒素B₁、嘧菌酯、酸价(以脂肪计)(KOH) | 镉(以Cd计)、过氧化值(以脂肪计)、黄曲霉毒素B₁、嘧菌酯、酸价(以脂肪计)(KOH) | 镉(以Cd计)、过氧化值(以脂肪计)、黄曲霉毒素B₁、嘧菌酯、酸价(以脂肪计)(KOH)
cleaned,抽检级别,5000,str,省抽 | 省抽 | 省抽 | 省抽 | 省抽
cleaned,检验机构,1201,str,清远市食品检验中心 | 清远市食品检验中心 | 哈尔滨海关技术中心 | 河南安必诺检测技术有限公司 | 河南安必诺检测技术有限公司
cleaned,标准,55,str,GB 19300-2014 | GB 2761-2017 | GB 2761-2017 | GB 2761-2017 | GB 2761-2017
cleaned,备注,530,str,标称第三方企业名称：山西绿色山区农副产品销售有限公司，标称第三方企业地址：山西省太原市阳曲县大盂镇景庄村委员三道村文明东街南巷 | 标称第三方企业名称：绿园区大权粮油经销部，标称第三方企业地址：东北亚物流中心A厅22号 | 标称第三方企业名称：绿园区大权粮油经销部，标称第三方企业地址：东北亚物流中心A厅22号 | 标称第三方企业名称：专营花生米，标称第三方企业地址：长春市宽城区东七条街256号 | 标称第三方企业名称：专营花生米，标称第三方企业地址：长春市宽城区东七条街256号
cleaned,抽检环节,5000,str,流通 | 流通 | 餐饮 | 餐饮 | 餐饮
cleaned,是否属于网抽,5000,str,否 | 否 | 否 | 否 | 否
cleaned,原始行号,5000,int64,2 | 3 | 4 | 5 | 6
cleaned,是否重复记录,5000,bool,False | False | False | False | False
cleaned,年份,5000,int64,2023 | 2023 | 2023 | 2023 | 2023
cleaned,月份,5000,int64,1 | 1 | 1 | 1 | 1
cleaned,年月,5000,str,2023-01 | 2023-01 | 2023-01 | 2023-01 | 2023-01
cleaned,生产省份_清洗,5000,str,不详 | 不详 | 不详 | 不详 | 不详
cleaned,通报单位_清洗,5000,str,山西 | 山西 | 山西 | 山西 | 北京
cleaned,抽样地区_候选,4681,str,山西 | 山西 | 山西 | 山西 | 河南
cleaned,原始产品分类,5000,str,坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类 | 坚果和籽类-->新鲜坚果与籽类
cleaned,原始产品名称,5000,str,生干籽类（花生米） | 散称花生米 | 生花生米 | 生花生米 | 生花生
cleaned,产品一级类,5000,str,花生及其制品 | 花生及其制品 | 花生及其制品 | 花生及其制品 | 花生及其制品
cleaned,产品二级类,5000,str,花生仁/炒货坚果 | 花生仁/炒货坚果 | 花生仁/炒货坚果 | 花生仁/炒货坚果 | 花生仁/炒货坚果
cleaned,产品细分类,5000,str,生干花生仁 | 生干花生仁 | 生干花生仁 | 生干花生仁 | 生干花生仁
cleaned,抽检环节_清洗,5000,str,流通 | 流通 | 餐饮 | 餐饮 | 餐饮
cleaned,供应链环节,5000,str,流通 | 流通 | 餐饮 | 餐饮 | 餐饮
cleaned,生产企业_清洗,4919,str,/ | / | / | / | /
cleaned,生产企业地址_清洗,4987,str,/ | / | / | / | /
cleaned,抽样单位_清洗,4910,str,定襄县信德铧美超市有限公司 | 左权县好又多超市有限公司 | 山西财经大学学生五食堂 | 太原市外国语学校 | 北京市丰台区丰台第二小学
cleaned,检验机构_清洗,1201,str,清远市食品检验中心 | 清远市食品检验中心 | 哈尔滨海关技术中心 | 河南安必诺检测技术有限公司 | 河南安必诺检测技术有限公司
cleaned,是否不合格,5000,bool,False | False | False | False | False
cleaned,是否合格,5000,bool,True | True | True | True | True
cleaned,不合格项目_标准化,56,str,酸价(以脂肪计) | 黄曲霉毒素B₁ | 黄曲霉毒素B₁ | 黄曲霉毒素B₁ | 黄曲霉毒素B₁
cleaned,是否AFB1相关,5000,bool,False | False | False | False | False
cleaned,AFB1识别依据,143,str,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体
cleaned,污染物名称_标准化,157,str,酸价(以脂肪计) | 黄曲霉毒素B1（AFB1） | 黄曲霉毒素B1（AFB1） | 黄曲霉毒素B1（AFB1） | 黄曲霉毒素B1（AFB1）
cleaned,污染物类别_标准化,5000,str,未识别 | 未识别 | 未识别 | 未识别 | 未识别
cleaned,初检浓度值,54,float64,10.0 | 88.98 | 65.7 | 41.5 | 102.0
cleaned,复检浓度值,1,float64,51.8
cleaned,最终采用浓度值,54,float64,10.0 | 88.98 | 65.7 | 41.5 | 102.0
cleaned,浓度单位,50,str,mg/g | μg/kg | μg/kg | μg/kg | μg/kg
cleaned,浓度清洗状态,5000,str,无检测数值 | 无检测数值 | 无检测数值 | 无检测数值 | 无检测数值
cleaned,原始检测数值,54,str,10mg/g | 88.98μg/kg | 65.7μg/kg | 41.5μg/kg | 102μg/kg
cleaned,法规限量_数值,54,float64,3.0 | 20.0 | 20.0 | 20.0 | 20.0
cleaned,法规限量_单位,50,str,mg/g | μg/kg | μg/kg | μg/kg | μg/kg
cleaned,法规限量解析状态,5000,str,无检测数值 | 无检测数值 | 无检测数值 | 无检测数值 | 无检测数值
cleaned,是否检出,5000,bool,False | False | False | False | False
cleaned,是否超标,5000,bool,False | False | False | False | False
cleaned,超标倍数,54,float64,3.333333333333333 | 4.449 | 3.285 | 2.075 | 5.1
cleaned,AFB1相关不合格,5000,bool,False | False | False | False | False
cleaned,复核原因,103,str,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
cleaned,是否建议人工复核,5000,bool,False | False | False | False | False
cleaned,AFB1识别可疑,5000,bool,False | False | False | False | False
cleaned,检测单位是否推断,5000,bool,False | False | False | False | False
cleaned,检测数值解析失败原因,4946,str,空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符
cleaned,原始法规限制,54,str,≤3mg/g | ≤20μg/kg | 20μg/kg | 20μg/kg | 20μg/kg
cleaned,法规限量_比较符号,54,str,≤ | ≤ | ≤ | ≤ | ≤
cleaned,法规限量_单位是否推断,5000,bool,False | False | False | False | False
cleaned,法规限量解析失败原因,4946,str,空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符
concentration,序号,1978,int64,9 | 32 | 33 | 37 | 15
concentration,省份,1978,str,不详 | 不详 | 不详 | 不详 | 不详
concentration,年份,1978,int64,2023 | 2023 | 2023 | 2023 | 2023
concentration,月份,1978,int64,2 | 2 | 2 | 2 | 2
concentration,年月,1978,str,2023-02 | 2023-02 | 2023-02 | 2023-02 | 2023-02
concentration,供应链环节,1978,str,流通 | 流通 | 流通 | 流通 | 流通
concentration,产品分类,1978,str,花生仁/炒货坚果 | 花生仁/炒货坚果 | 花生仁/炒货坚果 | 花生仁/炒货坚果 | 花生仁/炒货坚果
concentration,产品名称,1978,str,生干籽类(大花生米) | 生花生米（生干坚果及其籽类食品） | 白沙花生米 | 生花生米（生干坚果与籽类食品） | 生花生米（生干坚果与籽类食品）
concentration,污染物名称_标准化,1978,str,黄曲霉毒素B1（AFB1） | 黄曲霉毒素B1（AFB1） | 黄曲霉毒素B1（AFB1） | 黄曲霉毒素B1（AFB1） | 黄曲霉毒素B1（AFB1）
concentration,是否AFB1相关,1978,bool,True | True | True | True | True
concentration,AFB1识别依据,1978,str,不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体 | 不合格项目命中AFB1/黄曲霉变体；不合格规范列命中AFB1/黄曲霉变体
concentration,原始检测数值,768,str,88.98μg/kg | 65.7μg/kg | 41.5μg/kg | 102μg/kg | 41.5μg/kg
concentration,初检浓度值,766,float64,88.98 | 65.7 | 41.5 | 102.0 | 41.5
concentration,复检浓度值,4,float64,51.8 | 113.0 | 96.4 | 60.7
concentration,最终采用浓度值,766,float64,88.98 | 65.7 | 41.5 | 102.0 | 41.5
concentration,浓度单位,766,str,μg/kg | μg/kg | μg/kg | μg/kg | μg/kg
concentration,检测单位是否推断,1978,bool,False | False | False | False | False
concentration,原始法规限制,757,str,≤20μg/kg | 20μg/kg | 20μg/kg | 20μg/kg | 20μg/kg
concentration,法规限量_数值,754,float64,20.0 | 20.0 | 20.0 | 20.0 | 20.0
concentration,法规限量_单位,753,str,μg/kg | μg/kg | μg/kg | μg/kg | μg/kg
concentration,法规限量_比较符号,754,str,≤ | ≤ | ≤ | ≤ | ≤
concentration,法规限量_单位是否推断,1978,bool,False | False | False | False | False
concentration,是否超标,1978,bool,True | True | True | True | True
concentration,超标倍数,753,float64,4.449 | 3.285 | 2.075 | 5.1 | 2.075
concentration,浓度清洗状态,1978,str,已解析并统一单位 | 已解析并统一单位 | 已解析并统一单位 | 已解析并统一单位 | 已解析并统一单位
concentration,检测数值解析失败原因,1212,str,空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符
concentration,法规限量解析状态,1978,str,已解析并统一单位 | 已解析并统一单位 | 已解析并统一单位 | 已解析并统一单位 | 已解析并统一单位
concentration,法规限量解析失败原因,1224,str,空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符 | 空值或占位符
concentration,是否建议人工复核,1978,bool,False | False | False | False | False
concentration,复核原因,1239,str,AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析 | AFB1相关但浓度无法解析；AFB1相关但法规限量无法解析
count_panel,省份,1710,str,上海 | 上海 | 上海 | 上海 | 上海
count_panel,年份,1710,int64,2023 | 2023 | 2023 | 2023 | 2023
count_panel,月份,1710,int64,1 | 2 | 3 | 3 | 4
count_panel,年月,1710,str,2023-01 | 2023-02 | 2023-03 | 2023-03 | 2023-04
count_panel,供应链环节,1710,str,流通 | 流通 | 流通 | 生产 | 流通
count_panel,抽检总批次数,1710,int64,1 | 6 | 14 | 7 | 6
count_panel,合格批次数,1710,int64,1 | 6 | 14 | 7 | 6
count_panel,不合格批次数,1710,int64,0 | 0 | 0 | 0 | 0
count_panel,AFB1相关记录数,1710,int64,0 | 0 | 0 | 0 | 0
count_panel,AFB1相关不合格批次数,1710,int64,0 | 0 | 0 | 0 | 0
count_panel,浓度可用记录数,1710,int64,0 | 0 | 0 | 0 | 0
count_panel,不合格率,1710,float64,0.0 | 0.0 | 0.0 | 0.0 | 0.0
count_panel,AFB1相关不合格率,329,float64,0.6666666666666666 | 1.0 | 0.217391304347826 | 0.2142857142857142 | 0.0
count_panel,数据完整性标记,1710,str,基本完整 | 基本完整 | 基本完整 | 基本完整 | 基本完整
belief_states,省份,1710,str,上海 | 上海 | 上海 | 上海 | 上海
belief_states,年份,1710,int64,2023 | 2023 | 2023 | 2023 | 2023
belief_states,月份,1710,int64,1 | 2 | 3 | 4 | 5
belief_states,年月,1710,str,2023-01 | 2023-02 | 2023-03 | 2023-04 | 2023-05
belief_states,供应链环节,1710,str,流通 | 流通 | 流通 | 流通 | 流通
belief_states,抽检总批次数,1710,int64,1 | 6 | 14 | 6 | 15
belief_states,合格批次数,1710,int64,1 | 6 | 14 | 6 | 15
belief_states,不合格批次数,1710,int64,0 | 0 | 0 | 0 | 0
belief_states,AFB1相关记录数,1710,int64,0 | 0 | 0 | 0 | 0
belief_states,AFB1相关不合格批次数,1710,int64,0 | 0 | 0 | 0 | 0
belief_states,浓度可用记录数,1710,int64,0 | 0 | 0 | 0 | 0
belief_states,不合格率,1710,float64,0.0 | 0.0 | 0.0 | 0.0 | 0.0
belief_states,AFB1相关不合格率,329,float64,1.0 | 0.6666666666666666 | 1.0 | 0.217391304347826 | 0.2142857142857142
belief_states,数据完整性标记,1710,str,基本完整 | 基本完整 | 基本完整 | 基本完整 | 基本完整
